cve_id,published_date,updated_date,cisa_kev,cisa_kev_date,cvss_version,base_score,base_severity,attack_vector,attack_complexity,privileges_required,user_interaction,scope,attack_requirements,confidentiality_impact,integrity_impact,availability_impact,impacted_vendor,impacted_products,vulnerable_versions,cwe_number,cwe_description,ssvc_timestamp,ssvc_exploitation,ssvc_automatable,ssvc_technical_impact,ssvc_decision,quality_score,quality_reasons
CVE-2024-28171,2024-03-21T22:19:36.480000,2024-08-28T14:18:49.656000,False,,3.1,8.1,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,N/A,NONE,HIGH,HIGH,Delta Electronics,"diaenergie,DIAEnergie","0,0",CWE-22,CWE-22: Improper limitation of a pathname to a restricted directory ('Path traversal'),2024-03-22T17:56:00.396002,poc,False,partial,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-23494,2024-03-21T22:16:52.975000,2024-08-12T20:08:11.574000,False,,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Delta Electronics,"diaenergie,DIAEnergie","0,0",CWE-89,CWE-89: Improper neutralization of special elements used in an SQL command ('SQL injection'),2024-03-25T16:30:51.439451,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-23975,2024-03-21T22:15:33.833000,2024-08-12T20:27:50.352000,False,,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Delta Electronics,"diaenergie,DIAEnergie","0,0",CWE-89,CWE-89 Improper neutralization of special elements used in an SQL command ('SQL injection') ,2024-03-22T14:45:33.701884,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-28040,2024-03-21T22:13:40.119000,2024-08-12T20:14:25.821000,False,,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Delta Electronics,"diaenergie,DIAEnergie","0,0",CWE-89,CWE-89 Improper neutralization of special elements used in an SQL command ('SQL injection') ,2024-03-28T19:11:12.203178,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-25937,2024-03-21T22:09:33.976000,2024-08-14T15:43:50.463000,False,,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Delta Electronics,"diaenergie,DIAEnergie","0,0",CWE-89,CWE-89 Improper neutralization of special elements used in an SQL command ('SQL injection'),2024-08-14T15:24:57.957124,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-28891,2024-03-21T22:07:18.175000,2024-08-12T20:09:47.869000,False,,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Delta Electronics,"diaenergie,DIAEnergie","0,0",CWE-89,CWE-89 Improper neutralization of special elements used in an SQL command ('SQL injection'),2024-03-22T14:43:20.687504,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-28029,2024-03-21T22:04:57.512000,2024-10-17T18:45:56.861000,False,,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Delta Electronics,"diaenergie,DIAEnergie","0,0",CWE-602,CWE-602 Client-Side Enforcement of Server-Side Security,2024-03-22T14:38:46.183877,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-22045,2024-03-12T10:21:58.614000,2024-07-05T17:21:08.034000,False,,3.1,7.6,HIGH,NETWORK,LOW,LOW,REQUIRED,CHANGED,N/A,HIGH,LOW,NONE,Siemens,SINEMA Remote Connect Client,0,CWE-538,CWE-538: Insertion of Sensitive Information into Externally-Accessible File or Directory,2024-03-12T16:10:09.727210,none,False,partial,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-22044,2024-03-12T10:21:57.477000,2024-08-26T18:02:43.748000,False,,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,NONE,NONE,HIGH,Siemens,"sentron_3kc_act6,SENTRON 3KC ATC6 Expansion Module Ethernet","0,0",CWE-912,CWE-912: Hidden Functionality,2024-08-26T18:00:41.945516,none,False,partial,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-22041,2024-03-12T10:21:56.212000,2025-12-16T18:13:22.810000,False,,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,NONE,NONE,HIGH,Siemens,"cerberus_pro_en_engineering_tool,cerberus_pro_en_fire_panel_fc72x,cerberus_pro_en_x300_cloud_distribution,cerberus_pro_ul_compact_panel,cerberus_pro_en_x200_cloud_distribution,cerberus_pro_ul_engineering_tool,cerberus_pro_ul_x300_cloud,desigo_fire_safety_ul_compact_panel,desigo_fire_safety_ul_engineering_tool,sinteso_fs20_en_fire_panel_fc20,sinteso_fs20_en_x200_cloud_distribution,sinteso_fs20_en_x300_cloud_distribution,sinteso_mobile,Cerberus PRO EN Engineering Tool,Cerberus PRO EN Fire Panel FC72x IP6,Cerberus PRO EN Fire Panel FC72x IP7,Cerberus PRO EN Fire Panel FC72x IP8,Cerberus PRO EN X200 Cloud Distribution IP7,Cerberus PRO EN X200 Cloud Distribution IP8,Cerberus PRO EN X300 Cloud Distribution IP7,Cerberus PRO EN X300 Cloud Distribution IP8,Cerberus PRO UL Compact Panel FC922/924,Cerberus PRO UL Engineering Tool,Cerberus PRO UL X300 Cloud Distribution,Desigo Fire Safety UL Compact Panel FC2025/2050,Desigo Fire Safety UL Engineering Tool,Desigo Fire Safety UL X300 Cloud Distribution,Sinteso FS20 EN Engineering Tool,Sinteso FS20 EN Fire Panel FC20 MP6,Sinteso FS20 EN Fire Panel FC20 MP7,Sinteso FS20 EN Fire Panel FC20 MP8,Sinteso FS20 EN X200 Cloud Distribution MP7,Sinteso FS20 EN X200 Cloud Distribution MP8,Sinteso FS20 EN X300 Cloud Distribution MP7,Sinteso FS20 EN X300 Cloud Distribution MP8,Sinteso Mobile","-,-,-,*,-,*,*,0,0,-,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",CWE-119,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,2024-05-21T04:00:58.885310,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
